224 anesten-tarro VooAaunAnY.

pleasant, iheundhs.

pleasing (to he), placed.

post, postis.
pour, tundo.

praise, laus.
praise, laudii.
prefer, milo.
present, dono.

queen, reglnh
quiet, quies

rapacious, rapax
rational, sflnhs.
read, lego.
remain, mhneo.
right, jhs.

root, radix.

rulo, rego.

salety, sdlhs.
sea, mire.

sea, wldeh.
seize, capio.
seli, ipss.
servant, serviis.
shade‚ umbra.
side, latus.
sky, coelum.
sleep, somniis.
small, parulis.
snow, nlx.
soldier, miles.

somebody, aliquis, qnidam.

song, carmen.
sound, sono.
sound, soniis.
speaker, orator.
oport, lhdhs.

star, stella.

stete, olvltas.

stature, utam
storm, lmber.
summit, apex.

sun, sol.

swordsman, gladiator.

talk, lhqudr.

tame, domo.

thing, res.

think, puto, cdglw.
thousand, mille.

to, ad. .

toga (ε eloah), tege,
tooth, dens.
towards, ad.
traveller, viator.
tree‚ arbdr.
trumpet, tuba.

voice, vox.

wege, ςόῐδ.
walk, ambulo.
wash, luo.
water, aqua.
weak, debilis
weave‚ texo.
weight‚ pondus.
who, qul.

who? quls.
wish, velo.
witness, testis.
woman, lemlnd.
work, opha.
write, scribo.

yield, οῠᾱδ.

 

